date,country,cpi
1974-04-01,United States,19.97535
1974-07-01,Australia,13.60084
1974-07-01,Canada,22.13719
1974-07-01,France,20.8466
1974-07-01,Germany,38.7732
1974-07-01,Japan,48.98848
1974-07-01,New Zealand,9.751781
1974-07-01,Sweden,19.10011
1974-07-01,United Kingdom,13.55406
1974-07-01,United States,20.66273
1974-10-01,Australia,14.18561
1974-10-01,Canada,22.80697
1974-10-01,France,21.55388
1974-10-01,Germany,39.29987
1974-10-01,Japan,50.9315
1974-10-01,New Zealand,10.12886
1974-10-01,Sweden,20.07423
1974-10-01,United Kingdom,14.11269
1974-10-01,United States,21.32262
1975-01-01,Australia,14.78958
1975-01-01,Canada,23.20306
1975-01-01,France,22.1501
1975-01-01,Germany,39.98912
1975-01-01,Japan,51.82959
1975-01-01,New Zealand,10.50184
1975-01-01,Sweden,20.25599
1975-01-01,United Kingdom,14.64993
1975-01-01,United States,21.68006
1975-04-01,Australia,15.26769
1975-04-01,Canada,23.75854
1975-04-01,France,22.71435
1975-04-01,Germany,40.69473
1975-04-01,Japan,53.502880000000005
1975-04-01,New Zealand,10.8868
1975-04-01,Sweden,20.73899
1975-04-01,United Kingdom,16.11306
1975-04-01,United States,22.06499
1975-07-01,Australia,15.34649
1975-07-01,Canada,24.35346
1975-07-01,France,23.23442
1975-07-01,Germany,40.93995
1975-07-01,Japan,54.11261999999999
1975-07-01,New Zealand,11.24903
1975-07-01,Sweden,21.25667
1975-07-01,United Kingdom,16.89963
1975-07-01,United States,22.38119
1975-10-01,Australia,16.26792
1975-10-01,Canada,24.9032
1975-10-01,France,23.73126
1975-10-01,Germany,41.21274
1975-10-01,Japan,55.28496
1975-10-01,New Zealand,11.77039
1975-10-01,Sweden,21.72789
1975-10-01,United Kingdom,17.48207
1975-10-01,United States,22.779870000000003
1976-01-01,Australia,16.6979
1976-01-01,Canada,25.33093
1976-01-01,France,24.27389
1976-01-01,Germany,41.85917
1976-01-01,Japan,56.6841
1976-01-01,New Zealand,12.28526
1976-01-01,Sweden,22.25138
1976-01-01,United Kingdom,17.93856
1976-01-01,United States,23.10981
1976-04-01,Australia,17.17435
1976-04-01,Canada,25.76488
1976-04-01,France,24.76296
1976-04-01,Germany,42.26538
1976-04-01,Japan,58.717380000000006
1976-04-01,New Zealand,12.72748
1976-04-01,Sweden,22.80362
1976-04-01,United Kingdom,18.5736
1976-04-01,United States,23.49475
1976-07-01,Australia,17.58333
1976-07-01,Canada,26.19315
1976-07-01,France,25.34325
1976-07-01,Germany,42.44946
1976-07-01,Japan,59.40541999999999
1976-07-01,New Zealand,13.07055
1976-07-01,Sweden,23.12404
1976-07-01,United Kingdom,19.03311
1976-07-01,United States,23.89343
1976-10-01,Australia,18.75256
1976-10-01,Canada,26.61259
1976-10-01,France,25.89338
1976-10-01,Germany,42.76035
1976-10-01,Japan,60.88417
1976-10-01,New Zealand,13.46311
1976-10-01,Sweden,23.76311
1976-10-01,United Kingdom,19.69694
1976-10-01,United States,24.250870000000003
1977-01-01,Australia,19.14657
1977-01-01,Canada,27.10082
1977-01-01,France,26.20749
1977-01-01,Germany,43.43086
1977-01-01,Japan,61.875690000000006
1977-01-01,New Zealand,13.7931
1977-01-01,Sweden,24.34587
1977-01-01,United Kingdom,20.68546
1977-01-01,United States,24.553320000000003
1977-04-01,Australia,19.667820000000003
1977-04-01,Canada,27.69895
1977-04-01,France,26.93626
1977-04-01,Germany,43.87784
1977-04-01,Japan,63.860780000000005
1977-04-01,New Zealand,14.36278
1977-04-01,Sweden,25.23971
1977-04-01,United Kingdom,21.61136
1977-04-01,United States,25.00699
1977-07-01,Australia,19.99165
1977-07-01,Canada,28.21518
1977-07-01,France,27.56846
1977-07-01,Germany,44.06068
1977-07-01,Japan,64.28455
1977-07-01,New Zealand,14.81711
1977-07-01,Sweden,26.0274
1977-07-01,United Kingdom,22.07614
1977-07-01,United States,25.37818
1977-10-01,Australia,20.43228
1977-10-01,Canada,28.72498
1977-10-01,France,28.1111
1977-10-01,Germany,44.24587
1977-10-01,Japan,65.08434
1977-10-01,New Zealand,15.36929
1977-10-01,Sweden,26.65113
1977-10-01,United Kingdom,22.53302
1977-10-01,United States,25.73561
1978-01-01,Australia,20.79031
1978-01-01,Canada,29.23466
1978-01-01,France,28.5895
1978-01-01,Germany,44.82815
1978-01-01,Japan,65.44893
1978-01-01,New Zealand,15.74077
1978-01-01,Sweden,27.57214
1978-01-01,United Kingdom,22.96679
1978-01-01,United States,26.1068
1978-04-01,Australia,21.10798
1978-04-01,Canada,29.71235
1978-04-01,France,29.43395
1978-04-01,Germany,45.26151
1978-04-01,Japan,67.07683
1978-04-01,New Zealand,16.171960000000002
1978-04-01,Sweden,27.917440000000003
1978-04-01,United Kingdom,23.61326
1978-04-01,United States,26.69795
1978-07-01,Australia,21.47632
1978-07-01,Canada,30.33683
1978-07-01,France,30.14957
1978-07-01,Germany,45.31515
1978-07-01,Japan,67.57382
1978-07-01,New Zealand,16.53816
1978-07-01,Sweden,28.14891
1978-07-01,United Kingdom,24.08521
1978-07-01,United States,27.30285
1978-10-01,Australia,21.78145
1978-10-01,Canada,30.98825
1978-10-01,France,30.830820000000003
1978-10-01,Germany,45.47464
1978-10-01,Japan,68.32518
1978-10-01,New Zealand,17.02555
1978-10-01,Sweden,28.57591
1978-10-01,United Kingdom,24.58299
1978-10-01,United States,27.92149
1979-01-01,Australia,22.0996
1979-01-01,Canada,31.44305
1979-01-01,France,31.50004
1979-01-01,Germany,46.01495
1979-01-01,Japan,68.36428000000001
1979-01-01,New Zealand,17.40381
1979-01-01,Sweden,29.06817
1979-01-01,United Kingdom,25.24233
1979-01-01,United States,28.45765
1979-04-01,Australia,22.51518
1979-04-01,Canada,32.28611
1979-04-01,France,32.37172
1979-04-01,Germany,46.41492
1979-04-01,Japan,69.63701999999999
1979-04-01,New Zealand,17.97886
1979-04-01,Sweden,29.58126
1979-04-01,United Kingdom,26.15778
1979-04-01,United States,29.20002
1979-07-01,Australia,23.03583
1979-07-01,Canada,32.91534
1979-07-01,France,33.34787
1979-07-01,Germany,46.95009
1979-07-01,Japan,69.94141
1979-07-01,New Zealand,18.80146
1979-07-01,Sweden,30.04338
1979-07-01,United Kingdom,27.813640000000003
1979-07-01,United States,29.98364
1979-10-01,Australia,23.66017
1979-10-01,Canada,33.68685
1979-10-01,France,34.29581
1979-10-01,Germany,47.48921
1979-10-01,Japan,70.84739
1979-10-01,New Zealand,19.49146
1979-10-01,Sweden,31.0564
1979-10-01,United Kingdom,28.61549
1979-10-01,United States,30.90473
1980-01-01,Australia,24.0514
1980-01-01,Canada,34.341190000000005
1980-01-01,France,35.44655
1980-01-01,Germany,48.27682
1980-01-01,Japan,71.58395
1980-01-01,New Zealand,20.1781
1980-01-01,Sweden,32.51548
1980-01-01,United Kingdom,30.0736
1980-01-01,United States,31.92206
1980-04-01,Australia,24.71603
1980-04-01,Canada,35.2653
1980-04-01,France,36.63921
1980-04-01,Germany,49.08337
1980-04-01,Japan,73.6697
1980-04-01,New Zealand,21.02091
1980-04-01,Sweden,33.114290000000004
1980-04-01,United Kingdom,31.8622
1980-04-01,United States,33.07686
1980-07-01,Australia,25.13733
1980-07-01,Canada,36.15656
1980-07-01,France,37.84847
1980-07-01,Germany,49.4897
1980-07-01,Japan,74.54545999999999
1980-07-01,New Zealand,21.79388
1980-07-01,Sweden,33.87474
1980-07-01,United Kingdom,32.44521
1980-07-01,United States,33.599270000000004
1980-10-01,Australia,25.67608
1980-10-01,Canada,36.93435
1980-10-01,France,38.86675
1980-10-01,Germany,49.88515
1980-10-01,Japan,75.61527
1980-10-01,New Zealand,22.56642
1980-10-01,Sweden,35.17923
1980-10-01,United Kingdom,33.10816
1980-10-01,United States,34.67159
1981-01-01,Australia,26.15485
1981-01-01,Canada,38.01511
1981-01-01,France,39.90356
1981-01-01,Germany,50.88282
1981-01-01,Japan,75.82925
1981-01-01,New Zealand,23.2399
1981-01-01,Sweden,36.33803
1981-01-01,United Kingdom,33.69596
1981-01-01,United States,35.34523
1981-04-01,Australia,26.69441
1981-04-01,Canada,39.06521
1981-04-01,France,41.13562
1981-04-01,Germany,51.74325
1981-04-01,Japan,77.32981
1981-04-01,New Zealand,24.16047
1981-04-01,Sweden,37.19026
1981-04-01,United Kingdom,35.38965
1981-04-01,United States,36.19758
1981-07-01,Australia,27.2579
1981-07-01,Canada,40.15191
1981-07-01,France,42.49257
1981-07-01,Germany,52.41548
1981-07-01,Japan,77.6844
1981-07-01,New Zealand,25.09822
1981-07-01,Sweden,37.75072
1981-07-01,United Kingdom,35.81078
1981-07-01,United States,37.46236
1981-10-01,Australia,28.520390000000003
1981-10-01,Canada,41.33028
1981-10-01,France,43.87673
1981-10-01,Germany,53.05143
1981-10-01,Japan,78.68929
1981-10-01,New Zealand,26.10677
1981-10-01,Sweden,38.19874
1981-10-01,United Kingdom,36.75873
1981-10-01,United States,38.21849
1982-01-01,Australia,29.21814
1982-01-01,Canada,42.32887
1982-01-01,France,45.099
1982-01-01,Germany,53.6542
1982-01-01,Japan,78.45129
1982-01-01,New Zealand,26.99169
1982-01-01,Sweden,39.20771
1982-01-01,United Kingdom,37.30892
1982-01-01,United States,38.54843
1982-04-01,Australia,29.93579
1982-04-01,Canada,43.45179
1982-04-01,France,46.43931
1982-04-01,Germany,54.21527
1982-04-01,Japan,79.66716
1982-04-01,New Zealand,28.40706
1982-04-01,Sweden,39.84922
1982-04-01,United Kingdom,38.48778
1982-04-01,United States,39.34579
1982-07-01,Australia,30.8382
1982-07-01,Canada,44.4136
1982-07-01,France,47.00809
1982-07-01,Germany,54.83451
1982-07-01,Japan,79.93406999999999
1982-07-01,New Zealand,29.56388
1982-07-01,Sweden,40.27758
1982-07-01,United Kingdom,38.66491
1982-07-01,United States,40.01943
1982-10-01,Australia,31.83371
1982-10-01,Canada,45.32663
1982-10-01,France,47.73084
1982-10-01,Germany,55.35357
1982-10-01,Japan,80.87411999999999
1982-10-01,New Zealand,30.59892
1982-10-01,Sweden,41.21955
1982-10-01,United Kingdom,38.8172
1982-10-01,United States,40.21189
1983-01-01,Australia,32.48788
1983-01-01,Canada,45.72626
1983-01-01,France,49.15571
1983-01-01,Germany,55.99941999999999
1983-01-01,Japan,80.35598
1983-01-01,New Zealand,30.87081
